trigram,freq
"('it', 'is', 'the')",2
"('is', 'the', 'right')",1
"('the', 'right', 'top')",1
"('right', 'top', 'though')",1
"('top', 'though', 'the')",1
"('though', 'the', 'fabric')",1
"('the', 'fabric', 'wa')",8
"('fabric', 'wa', 'heavy')",1
"('wa', 'heavy', 'and')",1
"('heavy', 'and', 'felt')",1
"('and', 'felt', 'damp')",1
"('felt', 'damp', 'the')",1
"('damp', 'the', 'way')",1
"('the', 'way', 'something')",1
"('way', 'something', 'feel')",1
"('something', 'feel', 'coming')",1
"('feel', 'coming', 'out')",1
"('coming', 'out', 'of')",2
"('of', 'the', 'wash')",2
"('the', 'wash', 'very')",1
"('wash', 'very', 'odd')",1
"('very', 'odd', 'and')",1
"('odd', 'and', 'the')",1
"('and', 'the', 'fit')",3
"('the', 'fit', 'is')",12
"('fit', 'is', 'nothing')",1
"('is', 'nothing', 'like')",4
"('nothing', 'like', 'what')",2
"('like', 'what', 's')",1
"('what', 's', 'shown')",1
"('s', 'shown', 'on')",1
"('shown', 'on', 'the')",1
"('on', 'the', 'model')",34
"('the', 'model', 'the')",4
"('model', 'the', 'v')",1
"('the', 'v', 'is')",1
"('v', 'is', 'not')",1
"('is', 'not', 'fitted')",1
"('not', 'fitted', 'or')",1
"('fitted', 'or', 'nicely')",1
"('or', 'nicely', 'wrapped')",1
"('nicely', 'wrapped', 'or')",1
"('wrapped', 'or', 'even')",1
"('or', 'even', 'tacked')",1
"('even', 'tacked', 'in')",1
"('tacked', 'in', 'place')",1
"('in', 'place', 'it')",1
"('place', 'it', 'wa')",1
"('it', 'wa', 'just')",8
"('wa', 'just', 'two')",1
"('just', 'two', 'loose')",1
"('two', 'loose', 'droopy')",1
"('loose', 'droopy', 'piece')",1
"('droopy', 'piece', 'so')",1
"('piece', 'so', 'most')",1
"('so', 'most', 'of')",1
"('most', 'of', 'my')",1
"('of', 'my', 'bra')",1
"('my', 'bra', 'wa')",1
"('bra', 'wa', 'showing')",1
"('wa', 'showing', 'no')",1
"('showing', 'no', 'matter')",1
"('no', 'matter', 'how')",2
"('matter', 'how', 'many')",1
"('how', 'many', 'time')",1
"('many', 'time', 'i')",1
"('time', 'i', 'put')",2
"('i', 'put', 'the')",1
"('put', 'the', 'piece')",1
"('the', 'piece', 'back')",1
"('piece', 'back', 'where')",1
"('back', 'where', 'they')",1
"('where', 'they', 'belonged')",1
"('they', 'belonged', 'i')",1
"('belonged', 'i', 'm')",1
"('i', 'm', 'neither')",1
"('m', 'neither', 'flat')",1
"('neither', 'flat', 'chested')",1
"('flat', 'chested', 'nor')",1
"('chested', 'nor', 'busty')",1
"('nor', 'busty', 'Cute')",1
"('busty', 'Cute', 'and')",1
"('Cute', 'and', 'very')",1
"('and', 'very', 'soft')",2
"('very', 'soft', 'but')",1
"('soft', 'but', 'the')",2
"('but', 'the', 'elastic')",1
"('the', 'elastic', 'wasn')",1
"('elastic', 'wasn', 't')",1
"('wasn', 't', 'sewn')",1
"('t', 'sewn', 'in')",2
"('sewn', 'in', 'right')",1
"('in', 'right', 'i')",1
"('right', 'i', 'took')",1
"('i', 'took', 'them')",1
"('took', 'them', 'out')",1
"('them', 'out', 'of')",3
"('the', 'wash', 'and')",1
"('wash', 'and', 'the')",1
"('and', 'the', 'waistband')",1
"('the', 'waistband', 'wa')",1
"('waistband', 'wa', 'a')",1
"('wa', 'a', 'twisted')",1
"('a', 'twisted', 'mess')",1
"('twisted', 'mess', 'disappointing')",1
"('mess', 'disappointing', 'for')",1
"('disappointing', 'for', 'more')",1
"('for', 'more', 'expensive')",1
"('more', 'expensive', 'loungewear')",1
"('expensive', 'loungewear', 'What')",1
"('loungewear', 'What', 'an')",1
"('What', 'an', 'adorable')",1
"('an', 'adorable', 'and')",1
"('adorable', 'and', 'frustrating')",1
"('and', 'frustrating', 'skirt')",1
"('frustrating', 'skirt', 'i')",1
"('skirt', 'i', 'm')",1
"('i', 'm', 'not')",11
"('m', 'not', 'a')",1
"('not', 'a', 'large')",1
"('a', 'large', 'person')",1
"('large', 'person', '32d')",1
"('person', '32d', '26')",1
"('32d', '26', '36')",1
"('26', '36', 'and')",1
"('36', 'and', 'i')",1
"('and', 'i', 'ordered')",6
"('i', 'ordered', 'my')",3
"('ordered', 'my', 'normal')",2
"('my', 'normal', 'size')",2
"('normal', 'size', 'small')",1
"('size', 'small', 'this')",1
"('small', 'this', 'is')",2
"('this', 'is', 'a')",8
"('is', 'a', 'pull')",1
"('a', 'pull', 'on')",1
"('pull', 'on', 'skirt')",1
"('on', 'skirt', 'and')",1
"('skirt', 'and', 'the')",2
"('and', 'the', 'waist')",2
"('the', 'waist', 'opening')",1
"('waist', 'opening', 'could')",1
"('opening', 'could', 'not')",1
"('could', 'not', 'accommodate')",1
"('not', 'accommodate', 'either')",1
"('accommodate', 'either', 'my')",1
"('either', 'my', 'shoulder')",1
"('my', 'shoulder', 'or')",1
"('shoulder', 'or', 'my')",1
"('or', 'my', 'hip')",1
"('my', 'hip', 'in')",1
"('hip', 'in', 'most')",1
"('in', 'most', 'retailer')",1
"('most', 'retailer', 'clothes')",1
"('retailer', 'clothes', 'i')",1
"('clothes', 'i', 'm')",1
"('i', 'm', 'either')",2
"('m', 'either', 'a')",2
"('either', 'a', 'size')",1
"('a', 'size', '2')",4
"('size', '2', 'or')",1
"('2', 'or', '4')",2
"('or', '4', 'i')",1
"('4', 'i', 'have')",1
"('i', 'have', 'to')",6
"('have', 'to', 'agree')",2
"('to', 'agree', 'with')",2
"('agree', 'with', 'the')",6
"('with', 'the', 'other')",4
"('the', 'other', 'reviewer')",12
"('other', 'reviewer', 'there')",1
"('reviewer', 'there', 'is')",1
"('there', 'is', 'no')",14
"('is', 'no', 'way')",6
"('no', 'way', 'to')",4
"('way', 'to', 'put')",1
"('to', 'put', 'this')",3
"('put', 'this', 'item')",1
"('this', 'item', 'on')",2
"('item', 'on', 'I')",1
"('on', 'I', 'ordered')",1
"('I', 'ordered', 'the')",3
"('ordered', 'the', 'blue')",1
"('the', 'blue', 'in')",1
"('blue', 'in', 'size')",1
"('in', 'size', '16')",1
"('size', '16', 'it')",1
"('16', 'it', 'ran')",1
"('it', 'ran', 'at')",1
"('ran', 'at', 'least')",1
"('at', 'least', 'two')",2
"('least', 'two', 'if')",1
"('two', 'if', 'not')",1
"('if', 'not', 'three')",1
"('not', 'three', 'size')",1
"('three', 'size', 'too')",1
"('size', 'too', 'small')",4
"('too', 'small', 'compared')",2
"('small', 'compared', 'to')",1
"('compared', 'to', 'my')",1
"('to', 'my', 'other')",1
"('my', 'other', 'retailer')",2
"('other', 'retailer', '14')",1
"('retailer', '14', '16')",1
"('14', '16', 'blouse')",1
"('16', 'blouse', 'it')",1
"('blouse', 'it', 'wa')",1
"('it', 'wa', 'too')",6
"('wa', 'too', 'small')",5
"('too', 'small', 'through')",1
"('small', 'through', 'the')",1
"('through', 'the', 'body')",1
"('the', 'body', 'other')",1
"('body', 'other', 'than')",1
"('other', 'than', 'the')",1
"('than', 'the', 'peplum')",1
"('the', 'peplum', 'the')",2
"('peplum', 'the', 'arm')",1
"('the', 'arm', 'were')",3
"('arm', 'were', 'tight')",1
"('were', 'tight', 'too')",1
"('tight', 'too', 'the')",1
"('too', 'the', 'waistline')",1
"('the', 'waistline', 'and')",1
"('waistline', 'and', 'length')",1
"('and', 'length', 'matched')",1
"('length', 'matched', 'the')",1
"('matched', 'the', 'online')",1
"('the', 'online', 'photo')",3
"('online', 'photo', 'it')",2
"('photo', 'it', 's')",1
"('it', 's', 'widening')",1
"('s', 'widening', 'the')",1
"('widening', 'the', 'material')",1
"('the', 'material', 'they')",1
"('material', 'they', 'chose')",1
"('they', 'chose', 'wa')",1
"('chose', 'wa', 'also')",1
"('wa', 'also', 'scratchy')",1
"('also', 'scratchy', 'and')",1
"('scratchy', 'and', 'rough')",1
"('and', 'rough', 'especially')",1
"('rough', 'especially', 'around')",1
"('especially', 'around', 'the')",2
"('around', 'the', 'neckline')",2
"('the', 'neckline', 'i')",1
"('neckline', 'i', 'returned')",1
"('i', 'returned', 'mine')",1
"('returned', 'mine', 'after')",1
"('mine', 'after', 'trying')",1
"('after', 'trying', 'it')",1
"('trying', 'it', 'on')",6
"('on', 'and', 'seeing')",1
"('and', 'seeing', 'there')",1
"('seeing', 'there', 'wa')",1
"('there', 'wa', 'no')",4
"('wa', 'no', 'way')",1
"('way', 'to', 'make')",2
"('to', 'make', 'this')",4
"('make', 'this', 'work')",1
"('this', 'work', 'the')",1
"('work', 'the', 'blue')",1
"('the', 'blue', 'color')",1
"('blue', 'color', 'wa')",1
"('color', 'wa', 'gorgeous')",1
"('wa', 'gorgeous', 'though')",1
"('gorgeous', 'though', 'the')",1
"('though', 'the', 'patterned')",1
"('the', 'patterned', 'lace')",1
"('patterned', 'lace', 'w')",1
"('lace', 'w', 'I')",1
"('w', 'I', 'm')",1
"('I', 'm', 'usually')",2
"('m', 'usually', 'a')",3
"('usually', 'a', 'fan')",1
"('a', 'fan', 'of')",1
"('fan', 'of', 'maeve')",1
"('of', 'maeve', 'but')",1
"('maeve', 'but', 'this')",1
"('but', 'this', 'dress')",3
"('this', 'dress', 'is')",17
"('dress', 'is', 'just')",3
"('is', 'just', 'bad')",1
"('just', 'bad', 'the')",1
"('bad', 'the', 'fabric')",1
"('the', 'fabric', 'is')",42
"('fabric', 'is', 'thin')",4
"('is', 'thin', 'and')",6
"('thin', 'and', 'filmy')",1
"('and', 'filmy', 'and')",1
"('filmy', 'and', 'it')",1
"('and', 'it', 'stretch')",1
"('it', 'stretch', 'to')",1
"('stretch', 'to', 'sheer')",1
"('to', 'sheer', 'over')",1
"('sheer', 'over', 'your')",1
"('over', 'your', 'chest')",1
"('your', 'chest', 'the')",1
"('chest', 'the', 'turtleneck')",1
"('the', 'turtleneck', 'is')",1
"('turtleneck', 'is', 'neither')",1
"('is', 'neither', 'tight')",1
"('neither', 'tight', 'nor')",1
"('tight', 'nor', 'loose')",1
"('nor', 'loose', 'it')",1
"('loose', 'it', 'just')",1
"('it', 'just', 'droop')",1
"('just', 'droop', 'in')",1
"('droop', 'in', 'a')",1
"('in', 'a', 'most')",1
"('a', 'most', 'unfortunate')",1
"('most', 'unfortunate', 'way')",1
"('unfortunate', 'way', 'This')",1
"('way', 'This', 'is')",1
"('This', 'is', 'literally')",1
"('is', 'literally', 'the')",2
"('literally', 'the', 'most')",1
"('the', 'most', 'unflattering')",4
"('most', 'unflattering', 'thing')",2
"('unflattering', 'thing', 'i')",2
"('thing', 'i', 'have')",2
"('i', 'have', 'ever')",6
"('have', 'ever', 'tried')",4
"('ever', 'tried', 'on')",3
"('tried', 'on', 'from')",2
"('on', 'from', 'retailer')",2
"('from', 'retailer', 'the')",1
"('retailer', 'the', 'sleeve')",1
"('the', 'sleeve', 'are')",7
"('sleeve', 'are', 'so')",1
"('are', 'so', 'weird')",1
"('so', 'weird', 'and')",2
"('weird', 'and', 'ugly')",1
"('and', 'ugly', 'they')",1
"('ugly', 'they', 'get')",1
"('they', 'get', 'really')",1
"('get', 'really', 'fat')",1
"('really', 'fat', 'at')",1
"('fat', 'at', 'the')",1
"('at', 'the', 'top')",8
"('the', 'top', 'like')",1
"('top', 'like', 'a')",1
"('like', 'a', 'dolman')",1
"('a', 'dolman', 'sleeve')",1
"('dolman', 'sleeve', 'but')",2
"('sleeve', 'but', 'it')",1
"('but', 'it', 'look')",2
"('it', 'look', 'really')",2
"('look', 'really', 'strange')",1
"('really', 'strange', 'because')",1
"('strange', 'because', 'they')",1
"('because', 'they', 'don')",1
"('they', 'don', 't')",4
"('don', 't', 'flow')",1
"('t', 'flow', 'into')",1
"('flow', 'into', 'the')",1
"('into', 'the', 'rest')",1
"('the', 'rest', 'of')",3
"('rest', 'of', 'the')",3
"('of', 'the', 'top')",6
"('the', 'top', 'which')",2
"('top', 'which', 'is')",1
"('which', 'is', 'very')",1
"('is', 'very', 'structured')",1
"('very', 'structured', 'it')",1
"('structured', 'it', 'made')",1
"('it', 'made', 'my')",2
"('made', 'my', 'shoulder')",1
"('my', 'shoulder', 'look')",1
"('shoulder', 'look', 'huge')",1
"('look', 'huge', 'even')",1
"('huge', 'even', 'though')",1
"('even', 'though', 'i')",3
"('though', 'i', 'have')",1
"('i', 'have', 'very')",2
"('have', 'very', 'narrow')",1
"('very', 'narrow', 'shoulder')",1
"('narrow', 'shoulder', 'this')",1
"('shoulder', 'this', 'is')",1
"('this', 'is', 'not')",6
"('is', 'not', 'apparent')",1
"('not', 'apparent', 'in')",1
"('apparent', 'in', 'the')",1
"('in', 'the', 'model')",1
"('the', 'model', 'picture')",1
"('model', 'picture', 'at')",1
"('picture', 'at', 'all')",1
"('at', 'all', 'the')",7
"('all', 'the', 'thick')",1
"('the', 'thick', 'black')",1
"('thick', 'black', 'seam')",1
"('black', 'seam', 'at')",1
"('seam', 'at', 'the')",2
"('at', 'the', 'shoulder')",4
"('the', 'shoulder', 'are')",2
"('shoulder', 'are', 'also')",1
"('are', 'also', 'placed')",1
"('also', 'placed', 'in')",1
"('placed', 'in', 'a')",1
"('in', 'a', 'really')",1
"('a', 'really', 'awkward')",1
"('really', 'awkward', 'spot')",1
"('awkward', 'spot', 'which')",1
"('spot', 'which', 'also')",1
"('which', 'also', 'contri')",1
"('also', 'contri', 'This')",1
"('contri', 'This', 'run')",1
"('This', 'run', 'sooo')",1
"('run', 'sooo', 'big')",1
"('sooo', 'big', 'i')",1
"('big', 'i', 'normally')",1
"('i', 'normally', 'wear')",5
"('normally', 'wear', 'a')",4
"('wear', 'a', 'large')",1
"('a', 'large', '145lb')",1
"('large', '145lb', '5')",1
"('145lb', '5', '4')",1
"('5', '4', '36dd')",1
"('4', '36dd', 'but')",1
"('36dd', 'but', 'due')",1
"('but', 'due', 'to')",1
"('due', 'to', 'the')",5
"('to', 'the', 'limited')",1
"('the', 'limited', 'sizing')",1
"('limited', 'sizing', 'small')",1
"('sizing', 'small', 'or')",1
"('small', 'or', 'medium')",2
"('or', 'medium', 'i')",1
"('medium', 'i', 'chose')",1
"('i', 'chose', 'small')",1
"('chose', 'small', 'because')",1
"('small', 'because', 'it')",1
"('because', 'it', 'looked')",2
"('it', 'looked', 'big')",1
"('looked', 'big', 'on')",1
"('big', 'on', 'the')",2
"('the', 'model', 'and')",4
"('model', 'and', 'this')",1
"('and', 'this', 'style')",2
"('this', 'style', 'of')",2
"('style', 'of', 'dress')",1
"('of', 'dress', 'seem')",1
"('dress', 'seem', 'to')",1
"('seem', 'to', 'run')",1
"('to', 'run', 'large')",1
"('run', 'large', 'the')",3
"('large', 'the', 'size')",1
"('the', 'size', 'small')",1
"('size', 'small', 'that')",1
"('small', 'that', 'i')",1
"('that', 'i', 'ordered')",2
"('i', 'ordered', 'couldve')",1
"('ordered', 'couldve', 'fit')",1
"('couldve', 'fit', 'two')",1
"('fit', 'two', 'people')",1
"('two', 'people', 'easily')",1
"('people', 'easily', 'together')",1
"('easily', 'together', 'i')",1
"('together', 'i', 'loved')",1
"('i', 'loved', 'the')",11
"('loved', 'the', 'pattern')",1
"('the', 'pattern', 'color')",1
"('pattern', 'color', 'and')",1
"('color', 'and', 'the')",2
"('and', 'the', 'slip')",1
"('the', 'slip', 'underneath')",2
"('slip', 'underneath', 'actually')",1
"('underneath', 'actually', 'fit')",1
"('actually', 'fit', 'well')",1
"('fit', 'well', 'but')",2
"('well', 'but', 'i')",1
"('but', 'i', 'dont')",1
"('i', 'dont', 'want')",1
"('dont', 'want', 'to')",1
"('want', 'to', 'look')",1
"('to', 'look', 'like')",2
"('look', 'like', 'im')",1
"('like', 'im', 'wearing')",1
"('im', 'wearing', 'a')",1
"('wearing', 'a', 'tent')",2
"('a', 'tent', 'lol')",1
"('tent', 'lol', 'also')",1
"('lol', 'also', 'the')",1
"('also', 'the', 'back')",1
"('the', 'back', 'is')",7
"('back', 'is', 'slightly')",1
"('is', 'slightly', 'longer')",1
"('slightly', 'longer', 'than')",1
"('longer', 'than', 'the')",3
"('than', 'the', 'front')",3
"('the', 'front', 'something')",1
"('front', 'something', 'i')",1
"('something', 'i', 'couldnt')",1
"('i', 'couldnt', 'see')",1
"('couldnt', 'see', 'from')",1
"('see', 'from', 'the')",1
"('from', 'the', 'picture')",4
"('the', 'picture', 'online')",5
"('picture', 'online', 'Even')",1
"('online', 'Even', 'at')",1
"('Even', 'at', 'a')",1
"('at', 'a', 'very')",1
"('a', 'very', 'deep')",1
"('very', 'deep', 'discount')",1
"('deep', 'discount', 'this')",1
"('discount', 'this', 'piece')",1
"('this', 'piece', 'is')",2
"('piece', 'is', 'definitely')",1
"('is', 'definitely', 'not')",4
"('definitely', 'not', 'worth')",3
"('not', 'worth', 'the')",11
"('worth', 'the', 'money')",7
"('the', 'money', 'the')",1
"('money', 'the', 'picture')",1
"('the', 'picture', 'made')",1
"('picture', 'made', 'me')",1
"('made', 'me', 'think')",1
"('me', 'think', 'this')",1
"('think', 'this', 'jacket')",1
"('this', 'jacket', 'had')",1
"('jacket', 'had', 'a')",1
"('had', 'a', 'longer')",1
"('a', 'longer', 'curved')",1
"('longer', 'curved', 'velvet')",1
"('curved', 'velvet', 'hem')",1
"('velvet', 'hem', 'a')",1
"('hem', 'a', 'part')",1
"('a', 'part', 'of')",1
"('part', 'of', 'it')",1
"('of', 'it', 'design')",1
"('it', 'design', 'which')",1
"('design', 'which', 'would')",1
"('which', 'would', 'be')",6
"('would', 'be', 'cool')",1
"('be', 'cool', 'which')",1
"('cool', 'which', 'is')",1
"('which', 'is', 'largely')",1
"('is', 'largely', 'what')",1
"('largely', 'what', 'attracted')",1
"('what', 'attracted', 'me')",1
"('attracted', 'me', 'to')",1
"('me', 'to', 'it')",1
"('to', 'it', 'but')",4
"('it', 'but', 'a')",1
"('but', 'a', 'i')",2
"('a', 'i', 'discovered')",1
"('i', 'discovered', 'when')",1
"('discovered', 'when', 'it')",1
"('when', 'it', 'arrived')",13
"('it', 'arrived', 'that')",1
"('arrived', 'that', 'wa')",1
"('that', 'wa', 'actually')",1
"('wa', 'actually', 'part')",1
"('actually', 'part', 'of')",1
"('part', 'of', 'the')",5
"('of', 'the', 'shirt')",13
"('the', 'shirt', 'worn')",1
"('shirt', 'worn', 'beneath')",1
"('worn', 'beneath', 'in')",1
"('beneath', 'in', 'the')",1
"('in', 'the', 'photo')",18
"('the', 'photo', 'so')",1
"('photo', 'so', 'this')",1
"('so', 'this', 'image')",1
"('this', 'image', 'is')",1
"('image', 'is', 'rather')",1
"('is', 'rather', 'misleading')",1
"('rather', 'misleading', 'the')",1
"('misleading', 'the', 'actual')",1
"('the', 'actual', 'jacket')",1
"('actual', 'jacket', 'is')",1
"('jacket', 'is', 'very')",1
"('is', 'very', 'thin')",8
"('very', 'thin', 'more')",1
"('thin', 'more', 'like')",1
"('more', 'like', 'a')",14
"('like', 'a', 'shirt')",2
"('a', 'shirt', 'with')",1
"('shirt', 'with', 'an')",1
"('with', 'an', 'open')",1
"('an', 'open', 'front')",1
"('open', 'front', 'than')",1
"('front', 'than', 'a')",1
"('than', 'a', 'jacket')",1
"('a', 'jacket', 'the')",1
"('jacket', 'the', 'pocket')",1
"('the', 'pocket', 'are')",2
"('pocket', 'are', 'just')",1
"('are', 'just', 'loosely')",1
"('just', 'loosely', 'tacked')",1
"('loosely', 'tacked', 'inside')",1
"('tacked', 'inside', 'for')",1
"('inside', 'for', 'I')",1
"('for', 'I', 'tried')",1
"('I', 'tried', 'this')",9
"('tried', 'this', 'shirt')",2
"('this', 'shirt', 'in')",2
"('shirt', 'in', 'a')",1
"('in', 'a', 'small')",3
"('a', 'small', 'my')",1
"('small', 'my', 'usual')",1
"('my', 'usual', 'retailer')",1
"('usual', 'retailer', 'size')",1
"('retailer', 'size', 'and')",1
"('size', 'and', 'it')",4
"('and', 'it', 'wa')",23
"('it', 'wa', 'very')",9
"('wa', 'very', 'unflattering')",1
"('very', 'unflattering', 'the')",2
"('unflattering', 'the', 'fabric')",1
"('fabric', 'wa', 'ultra')",1
"('wa', 'ultra', 'soft')",1
"('ultra', 'soft', 'and')",1
"('soft', 'and', 'it')",1
"('and', 'it', 'seemed')",1
"('it', 'seemed', 'it')",1
"('seemed', 'it', 'wa')",1
"('it', 'wa', 'nicely')",1
"('wa', 'nicely', 'made')",1
"('nicely', 'made', 'however')",1
"('made', 'however', 'this')",1
"('however', 'this', 'shirt')",1
"('this', 'shirt', 'is')",7
"('shirt', 'is', 'so')",3
"('is', 'so', 'unstructured')",1
"('so', 'unstructured', 'and')",1
"('unstructured', 'and', 'oversized')",1
"('and', 'oversized', 'i')",1
"('oversized', 'i', 'might')",1
"('i', 'might', 'a')",1
"('might', 'a', 'well')",1
"('a', 'well', 'worn')",1
"('well', 'worn', 'a')",1
"('worn', 'a', 'brown')",1
"('a', 'brown', 'paper')",1
"('brown', 'paper', 'bag')",1
"('paper', 'bag', 'The')",1
"('bag', 'The', 'jean')",1
"('The', 'jean', 'look')",1
"('jean', 'look', 'so')",1
"('look', 'so', 'different')",1
"('so', 'different', 'online')",1
"('different', 'online', 'the')",1
"('online', 'the', 'pair')",1
"('the', 'pair', 'i')",1
"('pair', 'i', 'got')",1
